time_stamp,cpu,memory,netI,netO,diskR,diskW,workloadLabel
4.02,112.02,2.24,410.0,623.0,0.0,164.0,Bigger Size
6.04,105.13,2.31,607.0,936.0,0.0,164.0,Bigger Size
8.04,119.39,2.32,797.0,1240.0,0.0,164.0,Bigger Size
10.06,109.74,2.33,993.0,1540.0,0.0,164.0,Bigger Size
12.07,120.07,2.35,1190.0,1850.0,0.0,197.0,Bigger Size
14.09,114.15,2.39,1380.0,2140.0,0.0,197.0,Bigger Size
16.1,75.34,2.39,1530.0,2390.0,0.0,250.0,Bigger Size
18.11,63.1,2.4,1630.0,2550.0,0.0,250.0,Bigger Size
20.14,39.76,2.41,1670.0,2620.0,0.0,303.0,Bigger Size
0.0,17.7,0.9,3.28,8.23,0.0,164.0,Fewer Iterations
2.01,115.78,2.23,175.0,260.0,0.0,164.0,Fewer Iterations
4.02,112.17,2.24,359.0,545.0,0.0,164.0,Fewer Iterations
6.04,122.0,2.28,548.0,850.0,0.0,164.0,Fewer Iterations
8.06,75.92,2.33,683.0,1060.0,0.0,164.0,Fewer Iterations
10.07,47.57,2.33,777.0,1220.0,0.0,164.0,Fewer Iterations
0.0,38.48,1.95,53.57,95.16,29.5,608.8,warm
2.01,90.3,2.23,381.0,597.4,29.5,608.8,warm
4.03,84.25,2.27,729.5,1140.1,29.5,616.2,warm
6.04,91.19,2.3,1078.1,1700.0,29.5,626.5,warm
8.05,83.51,2.32,1391.3,2186.0,29.5,635.9,warm
10.07,77.89,2.36,1659.0,2618.0,37.3,652.3,warm
12.08,81.78,2.39,1810.0,2858.89,27.8,680.67,warm
0.0,36.58,1.99,27.0,51.0,0.0,709.0,High-20-Nodes
2.02,126.58,2.39,214.0,339.0,0.0,709.0,High-20-Nodes
4.03,113.7,2.39,410.0,640.0,0.0,709.0,High-20-Nodes
6.05,110.03,2.41,612.0,970.0,0.0,750.0,High-20-Nodes
8.06,114.18,2.42,808.0,1270.0,0.0,750.0,High-20-Nodes
10.07,113.2,2.44,1010.0,1600.0,0.0,750.0,High-20-Nodes
12.08,126.29,2.51,1200.0,1900.0,0.0,791.0,High-20-Nodes
14.1,109.05,2.51,1400.0,2210.0,0.0,791.0,High-20-Nodes
16.11,86.64,2.53,1550.0,2470.0,0.0,791.0,High-20-Nodes
18.12,63.89,2.53,1650.0,2620.0,0.0,791.0,High-20-Nodes
0.0,24.63,1.2,81.39,135.97,21.3,324.82,warm
0.0,14.61,1.12,28.0,46.0,8.19,164.0,new-block
2.02,40.62,1.74,259.0,433.0,16.4,164.0,new-block
