Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
f131167c3e64,algorand-sandbox-indexer,0.00%,44.11MiB,/,7.668GiB,0.56%,45.1kB,/,66.7kB,0B,/,0B,10,1686369038.36714
79c12d1fee8d,algorand-sandbox-algod,61.68%,165.1MiB,/,7.668GiB,2.10%,2.05MB,/,3.19MB,0B,/,164kB,23,1686369038.36714
44b46bdded1c,algorand-sandbox-postgres,0.02%,20.14MiB,/,7.668GiB,0.26%,63.2kB,/,19.3kB,0B,/,217kB,9,1686369038.36714
f131167c3e64,algorand-sandbox-indexer,0.00%,45.34MiB,/,7.668GiB,0.58%,61kB,/,98.7kB,0B,/,0B,10,1686369040.380199
79c12d1fee8d,algorand-sandbox-algod,31.58%,169.8MiB,/,7.668GiB,2.16%,2.31MB,/,3.61MB,0B,/,164kB,23,1686369040.380199
44b46bdded1c,algorand-sandbox-postgres,0.18%,20.25MiB,/,7.668GiB,0.26%,94.7kB,/,24.5kB,0B,/,217kB,9,1686369040.380199
f131167c3e64,algorand-sandbox-indexer,0.00%,45.34MiB,/,7.668GiB,0.58%,61kB,/,98.7kB,0B,/,0B,10,1686369042.396868
79c12d1fee8d,algorand-sandbox-algod,30.99%,169.9MiB,/,7.668GiB,2.16%,2.51MB,/,3.93MB,0B,/,164kB,23,1686369042.396868
44b46bdded1c,algorand-sandbox-postgres,0.04%,20.26MiB,/,7.668GiB,0.26%,94.7kB,/,24.5kB,0B,/,266kB,9,1686369042.396868
f131167c3e64,algorand-sandbox-indexer,0.00%,44.82MiB,/,7.668GiB,0.57%,8.53kB,/,4.44kB,0B,/,0B,10,1686369048.979297
79c12d1fee8d,algorand-sandbox-algod,34.94%,74.87MiB,/,7.668GiB,0.95%,3.27kB,/,8.23kB,0B,/,164kB,23,1686369048.979297
44b46bdded1c,algorand-sandbox-postgres,1.13%,19.89MiB,/,7.668GiB,0.25%,15.1kB,/,8.81kB,0B,/,28.7kB,9,1686369048.979297
