Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
b0f9c2871395,algorand-sandbox-postgres,0.61%,20.17MiB,/,7.668GiB,0.26%,63.3kB,/,19.5kB,0B,/,242kB,9,1686369451.378613
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,49.63MiB,/,7.668GiB,0.63%,45.9kB,/,66.8kB,0B,/,0B,10,1686369453.3904908
1846b792e0c5,algorand-sandbox-algod,61.39%,166.8MiB,/,7.668GiB,2.12%,2.1MB,/,3.26MB,0B,/,164kB,24,1686369453.3904908
b0f9c2871395,algorand-sandbox-postgres,0.03%,20.17MiB,/,7.668GiB,0.26%,63.3kB,/,19.5kB,0B,/,242kB,9,1686369453.3904908
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,51.04MiB,/,7.668GiB,0.65%,61.6kB,/,98.7kB,0B,/,0B,10,1686369455.404282
1846b792e0c5,algorand-sandbox-algod,29.53%,167MiB,/,7.668GiB,2.13%,2.32MB,/,3.64MB,0B,/,164kB,24,1686369455.404282
b0f9c2871395,algorand-sandbox-postgres,0.15%,20.26MiB,/,7.668GiB,0.26%,94.7kB,/,24.6kB,0B,/,242kB,9,1686369455.404282
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,51.04MiB,/,7.668GiB,0.65%,61.6kB,/,98.7kB,0B,/,0B,10,1686369457.41962
1846b792e0c5,algorand-sandbox-algod,33.50%,167.4MiB,/,7.668GiB,2.13%,2.51MB,/,3.93MB,0B,/,164kB,24,1686369457.41962
b0f9c2871395,algorand-sandbox-postgres,0.06%,20.26MiB,/,7.668GiB,0.26%,94.7kB,/,24.6kB,0B,/,242kB,9,1686369457.41962
47a4fd84cbb3,algorand-sandbox-indexer,0.71%,46.07MiB,/,7.668GiB,0.59%,18.5kB,/,17.5kB,0B,/,41kB,10,1686369463.9068391
1846b792e0c5,algorand-sandbox-algod,25.81%,73.66MiB,/,7.668GiB,0.94%,3.34kB,/,8.16kB,0B,/,164kB,22,1686369463.9068391
b0f9c2871395,algorand-sandbox-postgres,0.12%,18.5MiB,/,7.668GiB,0.24%,2.84kB,/,2.63kB,0B,/,57.3kB,8,1686369463.9068391
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.07MiB,/,7.668GiB,0.59%,18.5kB,/,17.5kB,0B,/,41kB,10,1686369465.923656
1846b792e0c5,algorand-sandbox-algod,56.90%,151.7MiB,/,7.668GiB,1.93%,164kB,/,243kB,0B,/,164kB,22,1686369465.923656
b0f9c2871395,algorand-sandbox-postgres,0.05%,20.14MiB,/,7.668GiB,0.26%,15.2kB,/,8.81kB,0B,/,242kB,9,1686369465.923656
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.24MiB,/,7.668GiB,0.59%,27.7kB,/,30.7kB,0B,/,41kB,10,1686369467.9372642
1846b792e0c5,algorand-sandbox-algod,63.92%,163.6MiB,/,7.668GiB,2.08%,594kB,/,908kB,0B,/,164kB,23,1686369467.9372642
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.14MiB,/,7.668GiB,0.26%,27.7kB,/,14.2kB,0B,/,242kB,9,1686369467.9372642
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.24MiB,/,7.668GiB,0.59%,27.7kB,/,30.7kB,0B,/,41kB,10,1686369469.948374
1846b792e0c5,algorand-sandbox-algod,67.91%,169.1MiB,/,7.668GiB,2.15%,1.04MB,/,1.6MB,0B,/,164kB,23,1686369469.948374
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.14MiB,/,7.668GiB,0.26%,27.7kB,/,14.2kB,0B,/,242kB,9,1686369469.948374
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.22MiB,/,7.668GiB,0.61%,44.2kB,/,64.4kB,0B,/,115kB,10,1686369471.9613912
1846b792e0c5,algorand-sandbox-algod,68.61%,169.5MiB,/,7.668GiB,2.16%,1.46MB,/,2.26MB,0B,/,164kB,23,1686369471.9613912
b0f9c2871395,algorand-sandbox-postgres,0.03%,20.25MiB,/,7.668GiB,0.26%,60.8kB,/,19.5kB,0B,/,242kB,9,1686369471.9613912
47a4fd84cbb3,algorand-sandbox-indexer,0.52%,48.38MiB,/,7.668GiB,0.62%,59.4kB,/,94.4kB,0B,/,115kB,10,1686369473.9741828
1846b792e0c5,algorand-sandbox-algod,79.69%,169.8MiB,/,7.668GiB,2.16%,1.87MB,/,2.92MB,0B,/,164kB,23,1686369473.9741828
b0f9c2871395,algorand-sandbox-postgres,0.41%,20.28MiB,/,7.668GiB,0.26%,90.3kB,/,24.6kB,0B,/,242kB,9,1686369473.9741828
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.38MiB,/,7.668GiB,0.62%,59.5kB,/,94.4kB,0B,/,115kB,10,1686369475.991054
1846b792e0c5,algorand-sandbox-algod,38.35%,172.9MiB,/,7.668GiB,2.20%,2.11MB,/,3.3MB,0B,/,164kB,23,1686369475.991054
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.32MiB,/,7.668GiB,0.26%,90.3kB,/,24.6kB,0B,/,242kB,9,1686369475.991054
47a4fd84cbb3,algorand-sandbox-indexer,0.74%,48.7MiB,/,7.668GiB,0.62%,74.7kB,/,125kB,0B,/,188kB,10,1686369478.006228
1846b792e0c5,algorand-sandbox-algod,42.68%,174.9MiB,/,7.668GiB,2.23%,2.28MB,/,3.58MB,0B,/,266kB,24,1686369478.006228
b0f9c2871395,algorand-sandbox-postgres,0.50%,20.36MiB,/,7.668GiB,0.26%,120kB,/,29.6kB,0B,/,242kB,9,1686369478.006228
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.7MiB,/,7.668GiB,0.62%,74.7kB,/,125kB,0B,/,188kB,10,1686369480.02629
1846b792e0c5,algorand-sandbox-algod,28.85%,178.9MiB,/,7.668GiB,2.28%,2.34MB,/,3.68MB,0B,/,266kB,24,1686369480.02629
b0f9c2871395,algorand-sandbox-postgres,0.08%,20.36MiB,/,7.668GiB,0.26%,120kB,/,29.6kB,0B,/,242kB,9,1686369480.02629
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,44.26MiB,/,7.668GiB,0.56%,8.64kB,/,4.44kB,0B,/,0B,10,1686369486.134176
1846b792e0c5,algorand-sandbox-algod,11.01%,69.21MiB,/,7.668GiB,0.88%,2.6kB,/,4.52kB,0B,/,164kB,19,1686369486.134176
b0f9c2871395,algorand-sandbox-postgres,0.10%,18.23MiB,/,7.668GiB,0.23%,2.84kB,/,2.63kB,0B,/,32.8kB,8,1686369486.134176
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,44.49MiB,/,7.668GiB,0.57%,18.5kB,/,17.5kB,0B,/,0B,10,1686369488.1564622
1846b792e0c5,algorand-sandbox-algod,20.20%,78.09MiB,/,7.668GiB,0.99%,7.96kB,/,13.8kB,0B,/,164kB,22,1686369488.1564622
b0f9c2871395,algorand-sandbox-postgres,0.20%,19.9MiB,/,7.668GiB,0.25%,15.3kB,/,8.75kB,0B,/,32.8kB,9,1686369488.1564622
47a4fd84cbb3,algorand-sandbox-indexer,0.46%,44.55MiB,/,7.668GiB,0.57%,27.7kB,/,30.7kB,0B,/,0B,10,1686369490.167153
1846b792e0c5,algorand-sandbox-algod,83.78%,171.3MiB,/,7.668GiB,2.18%,335kB,/,508kB,0B,/,164kB,25,1686369490.167153
b0f9c2871395,algorand-sandbox-postgres,0.40%,19.91MiB,/,7.668GiB,0.25%,27.8kB,/,14.2kB,0B,/,213kB,9,1686369490.167153
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,44.54MiB,/,7.668GiB,0.57%,27.7kB,/,30.7kB,0B,/,0B,10,1686369492.180817
1846b792e0c5,algorand-sandbox-algod,78.72%,174.7MiB,/,7.668GiB,2.23%,717kB,/,1.1MB,0B,/,164kB,25,1686369492.180817
b0f9c2871395,algorand-sandbox-postgres,0.05%,19.9MiB,/,7.668GiB,0.25%,27.9kB,/,14.2kB,0B,/,213kB,9,1686369492.180817
47a4fd84cbb3,algorand-sandbox-indexer,0.80%,46.01MiB,/,7.668GiB,0.59%,43.9kB,/,62.7kB,0B,/,0B,10,1686369494.193752
1846b792e0c5,algorand-sandbox-algod,87.13%,175.7MiB,/,7.668GiB,2.24%,1.1MB,/,1.71MB,0B,/,164kB,25,1686369494.193752
b0f9c2871395,algorand-sandbox-postgres,0.52%,20.14MiB,/,7.668GiB,0.26%,59.1kB,/,19.3kB,0B,/,213kB,9,1686369494.193752
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.01MiB,/,7.668GiB,0.59%,43.9kB,/,62.7kB,0B,/,0B,10,1686369496.207767
1846b792e0c5,algorand-sandbox-algod,78.51%,175.8MiB,/,7.668GiB,2.24%,1.46MB,/,2.26MB,0B,/,164kB,25,1686369496.207767
b0f9c2871395,algorand-sandbox-postgres,0.03%,20.14MiB,/,7.668GiB,0.26%,59.1kB,/,19.3kB,0B,/,213kB,9,1686369496.207767
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.31MiB,/,7.668GiB,0.60%,58.7kB,/,91.3kB,0B,/,20.5kB,10,1686369498.2233229
1846b792e0c5,algorand-sandbox-algod,75.65%,176.2MiB,/,7.668GiB,2.24%,1.82MB,/,2.83MB,0B,/,164kB,25,1686369498.2233229
b0f9c2871395,algorand-sandbox-postgres,0.15%,20.23MiB,/,7.668GiB,0.26%,87.2kB,/,24.4kB,0B,/,213kB,9,1686369498.2233229
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.31MiB,/,7.668GiB,0.60%,58.7kB,/,91.3kB,0B,/,20.5kB,10,1686369500.232665
1846b792e0c5,algorand-sandbox-algod,46.86%,180.1MiB,/,7.668GiB,2.29%,2.03MB,/,3.17MB,0B,/,164kB,25,1686369500.232665
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.23MiB,/,7.668GiB,0.26%,87.2kB,/,24.4kB,0B,/,213kB,9,1686369500.232665
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.84MiB,/,7.668GiB,0.62%,73.6kB,/,121kB,0B,/,41kB,10,1686369502.250998
1846b792e0c5,algorand-sandbox-algod,30.32%,180.5MiB,/,7.668GiB,2.30%,2.16MB,/,3.38MB,0B,/,197kB,25,1686369502.250998
b0f9c2871395,algorand-sandbox-postgres,0.05%,20.26MiB,/,7.668GiB,0.26%,117kB,/,29.4kB,0B,/,213kB,9,1686369502.250998
47a4fd84cbb3,algorand-sandbox-indexer,0.55%,49.43MiB,/,7.668GiB,0.63%,85.1kB,/,141kB,0B,/,61.4kB,10,1686369504.27407
1846b792e0c5,algorand-sandbox-algod,40.87%,180.5MiB,/,7.668GiB,2.30%,2.25MB,/,3.54MB,0B,/,246kB,25,1686369504.27407
b0f9c2871395,algorand-sandbox-postgres,0.43%,20.28MiB,/,7.668GiB,0.26%,136kB,/,34.4kB,0B,/,213kB,9,1686369504.27407
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.62MiB,/,7.668GiB,0.59%,8.38kB,/,4.44kB,0B,/,0B,10,1686369509.372011
1846b792e0c5,algorand-sandbox-algod,13.84%,68.59MiB,/,7.668GiB,0.87%,2.6kB,/,4.52kB,0B,/,164kB,20,1686369509.372011
b0f9c2871395,algorand-sandbox-postgres,0.19%,18.24MiB,/,7.668GiB,0.23%,2.84kB,/,2.37kB,0B,/,32.8kB,8,1686369509.372011
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.8MiB,/,7.668GiB,0.60%,18.2kB,/,17.3kB,0B,/,0B,10,1686369511.3856761
1846b792e0c5,algorand-sandbox-algod,15.84%,74.14MiB,/,7.668GiB,0.94%,3.83kB,/,8.97kB,0B,/,164kB,25,1686369511.3856761
b0f9c2871395,algorand-sandbox-postgres,0.14%,19.91MiB,/,7.668GiB,0.25%,15.1kB,/,8.48kB,0B,/,32.8kB,9,1686369511.3856761
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.8MiB,/,7.668GiB,0.60%,18.3kB,/,17.3kB,0B,/,0B,10,1686369513.401484
1846b792e0c5,algorand-sandbox-algod,88.93%,168.2MiB,/,7.668GiB,2.14%,308kB,/,463kB,0B,/,164kB,25,1686369513.401484
b0f9c2871395,algorand-sandbox-postgres,0.05%,19.9MiB,/,7.668GiB,0.25%,15.1kB,/,8.48kB,0B,/,213kB,9,1686369513.401484
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.88MiB,/,7.668GiB,0.60%,26.9kB,/,30kB,0B,/,0B,10,1686369515.410211
1846b792e0c5,algorand-sandbox-algod,80.30%,169.1MiB,/,7.668GiB,2.15%,641kB,/,980kB,0B,/,164kB,25,1686369515.410211
b0f9c2871395,algorand-sandbox-postgres,0.05%,19.91MiB,/,7.668GiB,0.25%,27.1kB,/,13.4kB,0B,/,213kB,9,1686369515.410211
47a4fd84cbb3,algorand-sandbox-indexer,0.76%,48.35MiB,/,7.668GiB,0.62%,42.8kB,/,62.7kB,0B,/,0B,10,1686369517.422635
1846b792e0c5,algorand-sandbox-algod,96.32%,171MiB,/,7.668GiB,2.18%,995kB,/,1.55MB,0B,/,164kB,25,1686369517.422635
b0f9c2871395,algorand-sandbox-postgres,0.52%,20.15MiB,/,7.668GiB,0.26%,59.1kB,/,18.5kB,0B,/,213kB,9,1686369517.422635
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.35MiB,/,7.668GiB,0.62%,42.8kB,/,62.7kB,0B,/,0B,10,1686369519.434452
1846b792e0c5,algorand-sandbox-algod,81.80%,171.1MiB,/,7.668GiB,2.18%,1.31MB,/,2.03MB,0B,/,164kB,25,1686369519.434452
b0f9c2871395,algorand-sandbox-postgres,0.02%,20.15MiB,/,7.668GiB,0.26%,59.1kB,/,18.5kB,0B,/,213kB,9,1686369519.434452
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,49.64MiB,/,7.668GiB,0.63%,57kB,/,88.8kB,0B,/,0B,10,1686369521.455067
1846b792e0c5,algorand-sandbox-algod,81.57%,176.3MiB,/,7.668GiB,2.25%,1.62MB,/,2.53MB,0B,/,184kB,25,1686369521.455067
b0f9c2871395,algorand-sandbox-postgres,0.15%,20.21MiB,/,7.668GiB,0.26%,84.5kB,/,23.5kB,0B,/,213kB,9,1686369521.455067
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,49.64MiB,/,7.668GiB,0.63%,57kB,/,88.8kB,0B,/,0B,10,1686369523.4625258
1846b792e0c5,algorand-sandbox-algod,58.00%,177.9MiB,/,7.668GiB,2.27%,1.87MB,/,2.91MB,0B,/,184kB,25,1686369523.4625258
b0f9c2871395,algorand-sandbox-postgres,0.07%,20.21MiB,/,7.668GiB,0.26%,84.5kB,/,23.5kB,0B,/,213kB,9,1686369523.4625258
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,51.03MiB,/,7.668GiB,0.65%,71.7kB,/,117kB,0B,/,77.8kB,10,1686369525.476833
1846b792e0c5,algorand-sandbox-algod,37.82%,178.3MiB,/,7.668GiB,2.27%,2MB,/,3.14MB,0B,/,238kB,25,1686369525.476833
b0f9c2871395,algorand-sandbox-postgres,0.06%,20.23MiB,/,7.668GiB,0.26%,112kB,/,28.6kB,0B,/,213kB,9,1686369525.476833
47a4fd84cbb3,algorand-sandbox-indexer,0.55%,51.83MiB,/,7.668GiB,0.66%,84.2kB,/,140kB,0B,/,77.8kB,10,1686369527.499993
1846b792e0c5,algorand-sandbox-algod,45.20%,178.3MiB,/,7.668GiB,2.27%,2.12MB,/,3.33MB,0B,/,311kB,25,1686369527.499993
b0f9c2871395,algorand-sandbox-postgres,0.43%,20.25MiB,/,7.668GiB,0.26%,135kB,/,33.6kB,0B,/,213kB,9,1686369527.499993
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.52MiB,/,7.668GiB,0.59%,8.64kB,/,4.44kB,0B,/,0B,10,1686369532.850697
1846b792e0c5,algorand-sandbox-algod,15.66%,70.2MiB,/,7.668GiB,0.89%,2.6kB,/,4.52kB,0B,/,164kB,19,1686369532.850697
b0f9c2871395,algorand-sandbox-postgres,0.17%,18.28MiB,/,7.668GiB,0.23%,2.84kB,/,2.63kB,0B,/,28.7kB,8,1686369532.850697
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.41MiB,/,7.668GiB,0.60%,18.4kB,/,18.2kB,0B,/,0B,10,1686369534.888767
1846b792e0c5,algorand-sandbox-algod,16.62%,74.7MiB,/,7.668GiB,0.95%,4.61kB,/,9.46kB,0B,/,164kB,22,1686369534.888767
b0f9c2871395,algorand-sandbox-postgres,0.16%,19.94MiB,/,7.668GiB,0.25%,16kB,/,8.68kB,0B,/,217kB,9,1686369534.888767
47a4fd84cbb3,algorand-sandbox-indexer,0.41%,47.54MiB,/,7.668GiB,0.61%,27.1kB,/,32.4kB,0B,/,0B,10,1686369536.903088
1846b792e0c5,algorand-sandbox-algod,99.03%,178.7MiB,/,7.668GiB,2.28%,275kB,/,415kB,0B,/,274kB,23,1686369536.903088
b0f9c2871395,algorand-sandbox-postgres,0.39%,19.94MiB,/,7.668GiB,0.25%,29.5kB,/,13.6kB,0B,/,217kB,9,1686369536.903088
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.53MiB,/,7.668GiB,0.61%,27.1kB,/,32.4kB,0B,/,0B,10,1686369538.9169369
1846b792e0c5,algorand-sandbox-algod,89.68%,178.9MiB,/,7.668GiB,2.28%,572kB,/,873kB,0B,/,274kB,23,1686369538.9169369
b0f9c2871395,algorand-sandbox-postgres,0.05%,19.93MiB,/,7.668GiB,0.25%,29.5kB,/,13.6kB,0B,/,217kB,9,1686369538.9169369
47a4fd84cbb3,algorand-sandbox-indexer,0.86%,48.52MiB,/,7.668GiB,0.62%,42.5kB,/,61.2kB,0B,/,0B,10,1686369540.9255428
1846b792e0c5,algorand-sandbox-algod,96.77%,179.5MiB,/,7.668GiB,2.29%,877kB,/,1.36MB,0B,/,274kB,24,1686369540.9255428
b0f9c2871395,algorand-sandbox-postgres,0.56%,20.16MiB,/,7.668GiB,0.26%,57.7kB,/,18.6kB,0B,/,217kB,9,1686369540.9255428
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,48.52MiB,/,7.668GiB,0.62%,42.5kB,/,61.2kB,0B,/,0B,10,1686369542.940514
1846b792e0c5,algorand-sandbox-algod,86.02%,183.7MiB,/,7.668GiB,2.34%,1.17MB,/,1.81MB,0B,/,274kB,24,1686369542.940514
b0f9c2871395,algorand-sandbox-postgres,0.02%,20.16MiB,/,7.668GiB,0.26%,57.7kB,/,18.6kB,0B,/,217kB,9,1686369542.940514
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,51.31MiB,/,7.668GiB,0.65%,56.4kB,/,87.9kB,0B,/,20.5kB,10,1686369544.953537
1846b792e0c5,algorand-sandbox-algod,86.54%,184MiB,/,7.668GiB,2.34%,1.45MB,/,2.26MB,0B,/,344kB,24,1686369544.953537
b0f9c2871395,algorand-sandbox-postgres,0.16%,20.27MiB,/,7.668GiB,0.26%,83.9kB,/,23.6kB,0B,/,217kB,9,1686369544.953537
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,51.31MiB,/,7.668GiB,0.65%,56.4kB,/,87.9kB,0B,/,20.5kB,10,1686369546.969184
1846b792e0c5,algorand-sandbox-algod,93.65%,184.2MiB,/,7.668GiB,2.35%,1.74MB,/,2.71MB,0B,/,344kB,24,1686369546.969184
b0f9c2871395,algorand-sandbox-postgres,0.05%,20.27MiB,/,7.668GiB,0.26%,83.9kB,/,23.6kB,0B,/,217kB,9,1686369546.969184
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,52.11MiB,/,7.668GiB,0.66%,70.6kB,/,115kB,0B,/,45.1kB,10,1686369548.98624
1846b792e0c5,algorand-sandbox-algod,53.29%,184.7MiB,/,7.668GiB,2.35%,1.88MB,/,2.95MB,0B,/,377kB,24,1686369548.98624
b0f9c2871395,algorand-sandbox-postgres,0.06%,20.3MiB,/,7.668GiB,0.26%,111kB,/,28.7kB,0B,/,217kB,9,1686369548.98624
47a4fd84cbb3,algorand-sandbox-indexer,0.60%,52.23MiB,/,7.668GiB,0.67%,84.2kB,/,143kB,0B,/,65.5kB,10,1686369551.0070798
1846b792e0c5,algorand-sandbox-algod,50.25%,185MiB,/,7.668GiB,2.36%,2.01MB,/,3.16MB,0B,/,475kB,24,1686369551.0070798
b0f9c2871395,algorand-sandbox-postgres,0.47%,20.32MiB,/,7.668GiB,0.26%,137kB,/,33.7kB,0B,/,217kB,9,1686369551.0070798
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,44.56MiB,/,7.668GiB,0.57%,8.58kB,/,4.44kB,0B,/,0B,11,1686369556.333757
1846b792e0c5,algorand-sandbox-algod,17.22%,68.73MiB,/,7.668GiB,0.88%,2.6kB,/,4.52kB,0B,/,164kB,19,1686369556.333757
b0f9c2871395,algorand-sandbox-postgres,0.11%,18.47MiB,/,7.668GiB,0.24%,2.84kB,/,2.56kB,0B,/,57.3kB,8,1686369556.333757
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,44.96MiB,/,7.668GiB,0.57%,18.4kB,/,17.2kB,0B,/,0B,11,1686369558.3505201
1846b792e0c5,algorand-sandbox-algod,16.89%,82.09MiB,/,7.668GiB,1.05%,8.52kB,/,14.5kB,0B,/,164kB,24,1686369558.3505201
b0f9c2871395,algorand-sandbox-postgres,0.18%,20.11MiB,/,7.668GiB,0.26%,14.9kB,/,8.68kB,0B,/,57.3kB,9,1686369558.3505201
47a4fd84cbb3,algorand-sandbox-indexer,0.42%,45.18MiB,/,7.668GiB,0.58%,27.6kB,/,30.2kB,0B,/,0B,11,1686369560.366039
1846b792e0c5,algorand-sandbox-algod,98.71%,172.2MiB,/,7.668GiB,2.19%,261kB,/,394kB,0B,/,164kB,24,1686369560.366039
b0f9c2871395,algorand-sandbox-postgres,0.39%,20.13MiB,/,7.668GiB,0.26%,27.3kB,/,14.1kB,0B,/,242kB,9,1686369560.366039
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,45.17MiB,/,7.668GiB,0.58%,27.6kB,/,30.3kB,0B,/,0B,11,1686369562.379423
1846b792e0c5,algorand-sandbox-algod,94.43%,177.5MiB,/,7.668GiB,2.26%,539kB,/,822kB,0B,/,164kB,24,1686369562.379423
b0f9c2871395,algorand-sandbox-postgres,0.05%,20.11MiB,/,7.668GiB,0.26%,27.4kB,/,14.1kB,0B,/,242kB,9,1686369562.379423
47a4fd84cbb3,algorand-sandbox-indexer,0.88%,46.47MiB,/,7.668GiB,0.59%,43.4kB,/,60.7kB,0B,/,0B,11,1686369564.3927171
1846b792e0c5,algorand-sandbox-algod,103.89%,178.1MiB,/,7.668GiB,2.27%,815kB,/,1.27MB,0B,/,164kB,24,1686369564.3927171
b0f9c2871395,algorand-sandbox-postgres,0.53%,20.24MiB,/,7.668GiB,0.26%,57.2kB,/,19.7kB,0B,/,242kB,9,1686369564.3927171
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,46.47MiB,/,7.668GiB,0.59%,43.4kB,/,60.7kB,0B,/,0B,11,1686369566.400658
1846b792e0c5,algorand-sandbox-algod,91.97%,178.1MiB,/,7.668GiB,2.27%,1.08MB,/,1.67MB,0B,/,164kB,24,1686369566.400658
b0f9c2871395,algorand-sandbox-postgres,0.03%,20.24MiB,/,7.668GiB,0.26%,57.2kB,/,19.7kB,0B,/,242kB,9,1686369566.400658
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.56MiB,/,7.668GiB,0.61%,57.2kB,/,86.9kB,0B,/,0B,11,1686369568.415221
1846b792e0c5,algorand-sandbox-algod,92.68%,181.9MiB,/,7.668GiB,2.32%,1.34MB,/,2.09MB,0B,/,184kB,24,1686369568.415221
b0f9c2871395,algorand-sandbox-postgres,0.13%,20.31MiB,/,7.668GiB,0.26%,82.7kB,/,24.8kB,0B,/,242kB,9,1686369568.415221
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.56MiB,/,7.668GiB,0.61%,57.2kB,/,86.9kB,0B,/,0B,11,1686369570.423509
1846b792e0c5,algorand-sandbox-algod,94.85%,182.1MiB,/,7.668GiB,2.32%,1.6MB,/,2.49MB,0B,/,184kB,24,1686369570.423509
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.31MiB,/,7.668GiB,0.26%,82.8kB,/,24.8kB,0B,/,242kB,9,1686369570.423509
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,49.16MiB,/,7.668GiB,0.63%,71.1kB,/,114kB,0B,/,73.7kB,11,1686369572.442712
1846b792e0c5,algorand-sandbox-algod,58.46%,186.5MiB,/,7.668GiB,2.38%,1.78MB,/,2.78MB,0B,/,238kB,24,1686369572.442712
b0f9c2871395,algorand-sandbox-postgres,0.04%,20.33MiB,/,7.668GiB,0.26%,109kB,/,29.9kB,0B,/,242kB,9,1686369572.442712
47a4fd84cbb3,algorand-sandbox-indexer,0.63%,49.51MiB,/,7.668GiB,0.63%,85kB,/,142kB,0B,/,73.7kB,11,1686369574.4557078
1846b792e0c5,algorand-sandbox-algod,62.87%,186.6MiB,/,7.668GiB,2.38%,1.91MB,/,3MB,0B,/,315kB,24,1686369574.4557078
b0f9c2871395,algorand-sandbox-postgres,0.47%,20.36MiB,/,7.668GiB,0.26%,137kB,/,34.9kB,0B,/,242kB,9,1686369574.4557078
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,49.51MiB,/,7.668GiB,0.63%,85kB,/,142kB,0B,/,73.7kB,11,1686369576.473783
1846b792e0c5,algorand-sandbox-algod,26.45%,186.6MiB,/,7.668GiB,2.38%,1.93MB,/,3.03MB,0B,/,315kB,24,1686369576.473783
b0f9c2871395,algorand-sandbox-postgres,0.08%,20.36MiB,/,7.668GiB,0.26%,137kB,/,34.9kB,0B,/,242kB,9,1686369576.473783
47a4fd84cbb3,algorand-sandbox-indexer,0.56%,49.58MiB,/,7.668GiB,0.63%,94.2kB,/,157kB,0B,/,139kB,11,1686369578.501163
1846b792e0c5,algorand-sandbox-algod,29.73%,186.6MiB,/,7.668GiB,2.38%,1.94MB,/,3.06MB,0B,/,381kB,24,1686369578.501163
b0f9c2871395,algorand-sandbox-postgres,0.44%,20.36MiB,/,7.668GiB,0.26%,151kB,/,39.9kB,0B,/,242kB,9,1686369578.501163
47a4fd84cbb3,algorand-sandbox-indexer,0.02%,46.76MiB,/,7.668GiB,0.60%,8.58kB,/,4.44kB,0B,/,0B,11,1686369583.576801
1846b792e0c5,algorand-sandbox-algod,13.97%,68.57MiB,/,7.668GiB,0.87%,2.6kB,/,4.52kB,0B,/,164kB,23,1686369583.576801
b0f9c2871395,algorand-sandbox-postgres,0.17%,18.27MiB,/,7.668GiB,0.23%,2.84kB,/,2.56kB,0B,/,28.7kB,8,1686369583.576801
47a4fd84cbb3,algorand-sandbox-indexer,0.00%,47.16MiB,/,7.668GiB,0.60%,18.5kB,/,17.3kB,0B,/,0B,11,1686369585.592094
1846b792e0c5,algorand-sandbox-algod,36.42%,138.6MiB,/,7.668GiB,1.76%,36.4kB,/,53.2kB,0B,/,164kB,23,1686369585.592094
b0f9c2871395,algorand-sandbox-postgres,0.13%,19.93MiB,/,7.668GiB,0.25%,15.1kB,/,8.75kB,0B,/,217kB,9,1686369585.592094
47a4fd84cbb3,algorand-sandbox-indexer,0.31%,47.4MiB,/,7.668GiB,0.60%,27.7kB,/,30.4kB,0B,/,0B,11,1686369587.60322
1846b792e0c5,algorand-sandbox-algod,105.75%,172.5MiB,/,7.668GiB,2.20%,282kB,/,425kB,0B,/,164kB,23,1686369587.60322
b0f9c2871395,algorand-sandbox-postgres,0.32%,19.95MiB,/,7.668GiB,0.25%,27.5kB,/,14.2kB,0B,/,217kB,9,1686369587.60322
